Name,Price,P-value,status
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.7,0,good to buy
BINANCE:BTCUSDT,61444.7,0.000016274799327267028,good to buy
BINANCE:BTCUSDT,61444.7,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.7,-0.000016274796678576527,good to buy
BINANCE:BTCUSDT,61445.07,0.000016274799327267028,good to buy
BINANCE:BTCUSDT,61446,0.0006021674774270513,good to buy
BINANCE:BTCUSDT,61447.36,0.0015135469778133396,good to buy
BINANCE:BTCUSDT,61448.72,0.0022133255215971456,good to buy
BINANCE:BTCUSDT,61449.99,0.0022132765345827424,good to buy
BINANCE:BTCUSDT,61449.99,0.002066763961880408,good to buy
BINANCE:BTCUSDT,61450,0,good to buy
BINANCE:BTCUSDT,61450,0.000016273395653989966,good to buy
BINANCE:BTCUSDT,61449.99,0,good to buy
BINANCE:BTCUSDT,61449.99,-0.000016273393005756334,good to buy
BINANCE:BTCUSDT,61449.99,0,good to buy
BINANCE:BTCUSDT,61450,0,good to buy
BINANCE:BTCUSDT,61449.99,0.000016273395653989966,good to buy
BINANCE:BTCUSDT,61449.99,-0.000016273393005756334,good to buy
BINANCE:BTCUSDT,61449.99,0,good to buy
BINANCE:BTCUSDT,61450,0,good to buy
BINANCE:BTCUSDT,61450,0.000016273395653989966,good to buy
BINANCE:BTCUSDT,61450,0,good to buy
BINANCE:BTCUSDT,61449.99,0,good to buy
BINANCE:BTCUSDT,61449.99,-0.000016273393005756334,good to buy
BINANCE:BTCUSDT,61450,0,good to buy
